no,pro_id,disciplines,funder,title
1,94ddc20f-5e93-4140-bb03-a9c27447d4e2,"['0602', '0501']",Research Foundation Flanders,The Transfer Effects of the Study of Latin Greek on Language Competence and Cognition a Longitudinal Study in Flemish Secondary Education
2,d833bf9c-e2b4-4843-a897-1eaa0baeffa6,"['0106', '0306', '0302', '0301']",Research Foundation Flanders,Viral interference with RNA sensing and processing
3,79de26a7-e00c-40a8-ac03-94a60f7b8110,['0603'],European Commission,Novel Echoes Ancient Novelistic Receptions and Concepts of Fiction in Late Antique and MEdieval Secular Narrative from East to West
4,9cc34d7b-2607-4aa5-89ea-4e33cf69f92d,['0299'],Research Foundation Flanders,Chemical Information Mining in a Complex World
5,1c7f82a2-5610-4813-9bdb-766bb98b8482,['0301'],Research Foundation Flanders,FEBRIS Flemish joint Effort for Biomarker pRofiling in Inflammatory Systemic diseases
6,e94c1597-1a58-4165-8fdb-d9a7f62a03ae,"['0306', '0206', '0301']",Research Foundation Flanders,Modeling how sensorineural hearing loss affects auditory processing and physiological markers of hearing
7,4c845bc0-4c79-4105-a2c9-09fbe5275fbd,"['0107', '0401', '0104']",Research Foundation Flanders,Bio based factory Sustainable chemistry from wood
8,616a043a-1c18-4b5f-83a1-c73b35b74fb8,"['0103', '0101']",Research Foundation Flanders,The H boson gateway to physics beyond the Standard Model
9,87709c06-002a-4b0b-99b6-eb8dd1be9606,"['0306', '0501', '0301', '0302']",Research Foundation Flanders,The journey of a memory dynamics of learning and consolidation in maturation and ageing
10,2d5bf816-da07-4848-ae30-a7eb0a302eee,['0101'],Research Foundation Flanders,Analysis and Partial Differential Equations APDE 
11,0129b9fd-d475-4f36-a18c-29092cd8fce9,"['0106', '0401']",Research Foundation Flanders,Adapting plant genetic diversity to climate change along a continental latitudinal gradients
12,e3f38c14-9d91-42d6-add7-ce5acd7ca63b,['0302'],Research Foundation Flanders,HEROI C Hybrid machinE leaRning for Improved Infection management in Critically ill patients
13,fd58f7e7-dd57-4c16-81ca-c682e78cd4f6,['0401'],Research Foundation Flanders,ENTOBIOTA Turning Black into Golden Soldier Fly Larvae Hermetia illucens added value creation by exploring its microbiota and metabolism
14,e3bde44f-a7fe-46be-a309-ab58aa337ef8,"['0306', '0301']",Research Foundation Flanders,The potential of innovative genome scale metabolic models in discovering novel targets to treat pathological angiogenesis
15,0f185947-5e76-4554-b818-e470e7df2a21,"['0306', '0202', '0206', '0102', '0208']",Flemish Government,SRP Onderzoekszwaartepunt Learning based Signal and Data Processing Systems LSDS 
16,a8a2587d-aefe-4730-ba22-ce9af3168d11,['0102'],Research Foundation Flanders,SNIPPET Secure aNd prIvacy friendly Peer to Peer Electricity Trading
17,0dcc328c-32c9-4693-b9ec-e0fd8942b230,"['0203', '0202', '0207', '0106', '0204']",Research Foundation Flanders,Digging deep into the arsenal of calcium dependent antibiotics through highly targeted genotype based selection
18,a4eabea4-37a8-4ae5-82d8-b1734cee17f8,['0302'],not specific,Discovering the role of titin TTN in anthracycline induced cardiac dysfunction in breast cancer 
19,5c083fa7-b175-44f3-89d3-da7228c5d45f,['0106'],Research Foundation Flanders,Study of the molecular pathways through which linear de ubiquitination governs skin inflammation and aberrant epidermal stem cell activation
20,6e5ae6db-6a70-4d55-8382-c01bb7121d6b,"['0103', '0104']",Flanders Innovation & Entrepreneurship,SYNergetic design of CATalytic materials for integrated photo and electrochemical CO conversion processes
21,7286a7bf-925d-4980-a16d-4560c5cbb2b9,"['0601', '0604']",Research Foundation Flanders,FWO sabbatical Prof K Vanhoutte 
22,561401a4-ef37-4f90-bb55-5596ec79967f,['0208'],not specific,Fast algorithms for generalized eigenvalue problems
23,431787f4-4935-4158-a121-abdb92fdcbae,['0106'],Research Foundation Flanders,Tau oligomers as targets for novel Alzheimerdisease diagnostics and therapeutics
24,b2b4a781-b739-4e05-b7d9-fb06ada76b17,['0106'],not specific,Food borne amyloids analysis engineering and design
25,6712b81f-a115-4f38-8d8e-0e6208ef946c,"['0301', '0306', '0501']",Research Foundation Flanders,Graph based model of information diffusion in the human brain for studying event related potentials
26,8c1473f3-426b-4ae6-9104-35e3173eec54,"['0504', '0501']",Research Foundation Flanders,Blended CBT sleep intervention to improve sleep ADHD symptoms and related problems in adolescents with ADHD
27,a97cb233-3e8c-4117-b6f0-60666aa3a7b8,['0306'],not specific,Histopathological heterogeneity of primary and metastatic breast cancer
28,7398e578-7032-4853-91c9-d468933b8775,"['0206', '0207', '0306']",Research Foundation Flanders,Development of a predictive model for endotype based patient selection for obstructive sleep apnea treatment 
29,9f40ccf2-dece-4ff4-b933-f4eeea493c39,['0505'],Federal Government,From the alley to the web The rise of illicit drug trade on cryptomarkets and the involvement of Belgian buyers and vendors CRYPTODRUG
30,efbcc470-3a24-4f4b-b03b-477779900653,['0106'],Flemish Government,The impact of nutrient pollution and mycorrhizal type on soil biodiversity and functionality
31,d0bcb000-e7f3-43c3-bda5-57462cba8c36,['0202'],Research Foundation Flanders,Ultrathin porous electrode coatings for improved battery performance POROBAT 
32,bf45b27e-ecf3-4aa0-8629-7d6decc03ec3,"['0103', '0202', '0205']",Research Foundation Flanders,Thin film transistor chemical sensors based on metal organic frameworks
33,dc7b7904-31f3-4e4a-8738-cac1e3236c0b,['0301'],Research Foundation Flanders,CAPACITY Flanders Project to Develop Capacity in Palliative Care Across Society
34,ff0f8e51-6040-48ac-859e-c6afd4e208a7,"['0102', '0101', '0203']",Research Foundation Flanders,Computational Modelling of Thermo Elastohydrodynamic Lubricated Contacts
35,bd85fe73-0d84-498f-b731-4416bac58e3f,['0106'],Research Foundation Flanders,Characterization of extracellular RNA signals and their role in antiviral immunity in insects
36,9573c3f4-61b0-457e-b8ce-e08a5410240a,['0104'],Research Foundation Flanders,Next generation sulfur VI fluoride probes for activity based protein profiling 
37,16965169-2065-4f5b-a3cc-4c6b8b394176,"['0301', '0206']",Research Foundation Flanders,Fluid structure growth modeling of the ageing aorta in humans biomechanical and hemodynamic consequences of elastin degradation
38,db57f672-230f-45df-8a8c-b07eefe53572,"['0401', '0106']",Research Foundation Flanders,Effects of tropical rainforest disturbance on gene flow genomic diversity and introgression in understory trees the case of Coffea canephora in the Congo basin 
39,f43ce365-064c-4a2e-afee-5897ce17a56a,['0301'],Research Foundation Flanders,Molecular targets and mechanisms involved in peroxisomal hydrogen peroxide signaling
40,2a7931a5-65c6-45f6-9262-bcb8c320f0ae,['0302'],Research Foundation Flanders,Genomics and transcriptomics of auto immune and autoinflammatory conditions
41,5415ab05-b373-4969-9246-4bd812060d76,"['0202', '0301']",Research Foundation Flanders,Age and sex appropriate D shape analysis and geometric deep learning for children undergoing craniofacial diagnostics and surgery
42,45bbe303-bf75-4865-a4a1-26b3d7a9da90,"['0301', '0302', '0106']",Research Foundation Flanders,Targeting necrotic cell debris degradation as a therapeutic strategy for injury
43,47bb85ec-aba5-44f1-a2b0-8f8f1de78f96,"['0302', '0102']",Research Foundation Flanders,PRIMORDIAL An artificial intelligence AI driven prediction model to detect risk factors for medication related osteonecrosis of the jaws 
44,91350e98-4ad7-4d27-8f3a-932a2bf89cab,"['0501', '0302']",Research Foundation Flanders,A Multi layered Perspective on PSychological individuality in adolescents with chronic illness MaPPS Project A long term longitudinal inquiry into young adulthood
45,6bc83e58-ab96-471d-95ad-7f50102fba08,"['0106', '0301']",Flemish Government,Predicting metastasis formation based on cancer cells with a distinct energy metabolism
46,2b86a2a3-a8de-4ae3-95d9-d40786bbd693,"['0205', '0203']",Research Foundation Flanders,Multi Material Additive Manufacturing for Electrical Machines with increased performance AM EM 
47,0137f30e-cb0d-428c-9479-c520a35ba90c,['0301'],Research Foundation Flanders,Investigating the role of complement in the phagocytosis of necrotic debris in vivo
48,2cff7874-1448-4f09-bb19-28af0e865f5e,"['0107', '0205']",Flemish Government,Next generation lignocellulose biorefinery concepts and implementation Next BIOREF 
49,a9747510-4d48-43ae-b53c-d22508c5f999,"['0207', '0106', '0603']",Flemish Government,Unlocking powerful non model organisms in microbial synthetic biology POSSIBL 
50,b1abb128-4bba-497e-ad13-a8bbf0fb3c45,"['0299', '0203']",Flemish Government,Towards continuous combustion of gasified municipal solid waste
51,9008297b-c0ab-4dc0-ae75-938a8f0484f7,"['0102', '0602']",Universities,Towards a mechanistic understanding of the emergence evolution acquisition and processing of human like languages in populations of autonomous agents
52,16a281a2-6f0e-4c68-89d2-bc960ec300a9,['0501'],Flemish Government,Strengthening Mental health And Resilience Through Schools SMARTS 
53,7f16b69f-d33f-4acf-9dc2-0e40cb853a5e,['0101'],Research Foundation Flanders,Factorization theorems for smooth vectors of Lie group representations
54,010b3336-8d38-432f-a336-fbc4075bae37,"['0101', '0105', '0107', '0299', '0103']",Flemish Government,Copper clusters as model catalysts for carbon dioxide hydrogenation to methanol
55,5516bade-5a89-47b8-b1e9-87b268564fc8,"['0103', '0201', '0202', '0205']",Research Foundation Flanders,Essential Technologies for the Einstein Telescope 
56,8789f5a8-1c7a-4a30-a2eb-167265f0d708,['0602'],not specific,Recommendation letters of Libanius Comparison with the wider ancient epistolary practice and means of promoting interests of his multiple petitioners
57,e82788b2-801d-4be6-8d8b-425c12f9eff8,['0104'],not specific,Ultra trace analysis of off flavors in water
58,d52b539f-ff2c-4c0c-b24c-2c51472ef610,['0503'],European Commission,H IMPACT A dedicated postdoctoral research and training programme fostering impact development and entrepreneurship 
